,Use CaseType ,LTE/5G UE Category,Technology Supported ,Day,Time,GBR,Packet Loss Rate (Reliability),Packet Delay Budget (Latency),Slice Type (Output)
50,1,1,1,3,2,2,1,5,1
51,1,1,1,3,3,2,1,5,1
52,1,1,1,3,4,2,1,5,1
53,1,1,1,3,5,2,1,5,1
54,1,1,1,3,6,2,1,5,1
55,1,1,1,3,7,2,1,5,1
56,1,1,1,3,8,2,1,5,1
57,1,1,1,3,9,2,1,5,1
58,1,1,1,3,10,2,1,5,1
59,1,1,1,3,11,2,1,5,1
60,1,1,1,3,12,2,1,5,1
61,1,1,1,3,13,2,1,5,1
62,1,1,1,3,14,2,1,5,1
63,1,1,1,3,15,2,1,5,1
64,1,1,1,3,16,2,1,5,1
65,1,1,1,3,17,2,1,5,1
66,1,1,1,3,18,2,1,5,1
67,1,1,1,3,19,2,1,5,1
68,1,1,1,3,20,2,1,5,1
69,1,1,1,3,21,2,1,5,1
70,1,1,1,3,22,2,1,5,1
71,1,1,1,3,23,2,1,5,1
72,1,1,1,4,0,2,1,5,1
73,1,1,1,4,1,2,1,5,1
74,1,1,1,4,2,2,1,5,1
75,1,1,1,4,3,2,1,5,1
76,1,1,1,4,4,2,1,5,1
77,1,1,1,4,5,2,1,5,1
78,1,1,1,4,6,2,1,5,1
79,1,1,1,4,7,2,1,5,1
80,1,1,1,4,8,2,1,5,1
81,1,1,1,4,9,2,1,5,1
82,1,1,1,4,10,2,1,5,1
83,1,1,1,4,11,2,1,5,1
84,1,1,1,4,12,2,1,5,1
85,1,1,1,4,13,2,1,5,1
86,1,1,1,4,14,2,1,5,1
87,1,1,1,4,15,2,1,5,1
88,1,1,1,4,16,2,1,5,1
89,1,1,1,4,17,2,1,5,1
90,1,1,1,4,18,2,1,5,1
91,1,1,1,4,19,2,1,5,1
92,1,1,1,4,20,2,1,5,1
93,1,1,1,4,21,2,1,5,1
94,1,1,1,4,22,2,1,5,1
95,1,1,1,4,23,2,1,5,1
96,1,1,1,5,0,2,1,5,1
97,1,1,1,5,1,2,1,5,1
98,1,1,1,5,2,2,1,5,1
99,1,1,1,5,3,2,1,5,1
100,1,1,1,5,4,2,1,5,1
101,1,1,1,5,5,2,1,5,1
102,1,1,1,5,6,2,1,5,1
103,1,1,1,5,7,2,1,5,1
104,1,1,1,5,8,2,1,5,1
105,1,1,1,5,9,2,1,5,1
106,1,1,1,5,10,2,1,5,1
107,1,1,1,5,11,2,1,5,1
108,1,1,1,5,12,2,1,5,1
109,1,1,1,5,13,2,1,5,1
110,1,1,1,5,14,2,1,5,1
111,1,1,1,5,15,2,1,5,1
112,1,1,1,5,16,2,1,5,1
113,1,1,1,5,17,2,1,5,1
114,1,1,1,5,18,2,1,5,1
115,1,1,1,5,19,2,1,5,1
116,1,1,1,5,20,2,1,5,1
117,1,1,1,5,21,2,1,5,1
118,1,1,1,5,22,2,1,5,1
119,1,1,1,5,23,2,1,5,1
120,1,1,1,6,0,2,1,5,1
121,1,1,1,6,1,2,1,5,1
122,1,1,1,6,2,2,1,5,1
123,1,1,1,6,3,2,1,5,1
124,1,1,1,6,4,2,1,5,1
125,1,1,1,6,5,2,1,5,1
126,1,1,1,6,6,2,1,5,1
127,1,1,1,6,7,2,1,5,1
128,1,1,1,6,8,2,1,5,1
129,1,1,1,6,9,2,1,5,1
130,1,1,1,6,10,2,1,5,1
131,1,1,1,6,11,2,1,5,1
132,1,1,1,6,12,2,1,5,1
133,1,1,1,6,13,2,1,5,1
134,1,1,1,6,14,2,1,5,1
135,1,1,1,6,15,2,1,5,1
136,1,1,1,6,16,2,1,5,1
137,1,1,1,6,17,2,1,5,1
138,1,1,1,6,18,2,1,5,1
139,1,1,1,6,19,2,1,5,1
140,1,1,1,6,20,2,1,5,1
141,1,1,1,6,21,2,1,5,1
142,1,1,1,6,22,2,1,5,1
143,1,1,1,6,23,2,1,5,1
144,1,1,1,7,0,2,1,5,1
145,1,1,1,7,1,2,1,5,1
146,1,1,1,7,2,2,1,5,1
147,1,1,1,7,3,2,1,5,1
148,1,1,1,7,4,2,1,5,1
149,1,1,1,7,5,2,1,5,1
150,1,1,1,7,6,2,1,5,1
151,1,1,1,7,7,2,1,5,1
152,1,1,1,7,8,2,1,5,1
153,1,1,1,7,9,2,1,5,1
154,1,1,1,7,10,2,1,5,1
155,1,1,1,7,11,2,1,5,1
156,1,1,1,7,12,2,1,5,1
157,1,1,1,7,13,2,1,5,1
158,1,1,1,7,14,2,1,5,1
159,1,1,1,7,15,2,1,5,1
160,1,1,1,7,16,2,1,5,1
161,1,1,1,7,17,2,1,5,1
162,1,1,1,7,18,2,1,5,1
163,1,1,1,7,19,2,1,5,1
164,1,1,1,7,20,2,1,5,1
165,1,1,1,7,21,2,1,5,1
166,1,1,1,7,22,2,1,5,1
167,1,1,1,7,23,2,1,5,1
168,1,2,1,1,0,2,1,5,1
169,1,2,1,1,1,2,1,5,1
170,1,2,1,1,2,2,1,5,1
171,1,2,1,1,3,2,1,5,1
172,1,2,1,1,4,2,1,5,1
173,1,2,1,1,5,2,1,5,1
174,1,2,1,1,6,2,1,5,1
175,1,2,1,1,7,2,1,5,1
176,1,2,1,1,8,2,1,5,1
177,1,2,1,1,9,2,1,5,1
178,1,2,1,1,10,2,1,5,1
179,1,2,1,1,11,2,1,5,1
180,1,2,1,1,12,2,1,5,1
181,1,2,1,1,13,2,1,5,1
182,1,2,1,1,14,2,1,5,1
183,1,2,1,1,15,2,1,5,1
184,1,2,1,1,16,2,1,5,1
185,1,2,1,1,17,2,1,5,1
186,1,2,1,1,18,2,1,5,1
187,1,2,1,1,19,2,1,5,1
188,1,2,1,1,20,2,1,5,1
189,1,2,1,1,21,2,1,5,1
190,1,2,1,1,22,2,1,5,1
191,1,2,1,1,23,2,1,5,1
192,1,2,1,2,0,2,1,5,1
193,1,2,1,2,1,2,1,5,1
194,1,2,1,2,2,2,1,5,1
195,1,2,1,2,3,2,1,5,1
196,1,2,1,2,4,2,1,5,1
197,1,2,1,2,5,2,1,5,1
198,1,2,1,2,6,2,1,5,1
199,1,2,1,2,7,2,1,5,1
200,1,2,1,2,8,2,1,5,1
201,1,2,1,2,9,2,1,5,1
202,1,2,1,2,10,2,1,5,1
203,1,2,1,2,11,2,1,5,1
204,1,2,1,2,12,2,1,5,1
205,1,2,1,2,13,2,1,5,1
206,1,2,1,2,14,2,1,5,1
207,1,2,1,2,15,2,1,5,1
208,1,2,1,2,16,2,1,5,1
209,1,2,1,2,17,2,1,5,1
210,1,2,1,2,18,2,1,5,1
211,1,2,1,2,19,2,1,5,1
212,1,2,1,2,20,2,1,5,1
213,1,2,1,2,21,2,1,5,1
214,1,2,1,2,22,2,1,5,1
215,1,2,1,2,23,2,1,5,1
216,1,2,1,3,0,2,1,5,1
217,1,2,1,3,1,2,1,5,1
218,1,2,1,3,2,2,1,5,1
219,1,2,1,3,3,2,1,5,1
220,1,2,1,3,4,2,1,5,1
221,1,2,1,3,5,2,1,5,1
222,1,2,1,3,6,2,1,5,1
223,1,2,1,3,7,2,1,5,1
224,1,2,1,3,8,2,1,5,1
225,1,2,1,3,9,2,1,5,1
226,1,2,1,3,10,2,1,5,1
227,1,2,1,3,11,2,1,5,1
228,1,2,1,3,12,2,1,5,1
229,1,2,1,3,13,2,1,5,1
230,1,2,1,3,14,2,1,5,1
231,1,2,1,3,15,2,1,5,1
232,1,2,1,3,16,2,1,5,1
233,1,2,1,3,17,2,1,5,1
234,1,2,1,3,18,2,1,5,1
235,1,2,1,3,19,2,1,5,1
236,1,2,1,3,20,2,1,5,1
237,1,2,1,3,21,2,1,5,1
238,1,2,1,3,22,2,1,5,1
239,1,2,1,3,23,2,1,5,1
240,1,2,1,4,0,2,1,5,1
241,1,2,1,4,1,2,1,5,1
242,1,2,1,4,2,2,1,5,1
243,1,2,1,4,3,2,1,5,1
244,1,2,1,4,4,2,1,5,1
245,1,2,1,4,5,2,1,5,1
246,1,2,1,4,6,2,1,5,1
247,1,2,1,4,7,2,1,5,1
248,1,2,1,4,8,2,1,5,1
249,1,2,1,4,9,2,1,5,1
250,1,2,1,4,10,2,1,5,1
251,1,2,1,4,11,2,1,5,1
252,1,2,1,4,12,2,1,5,1
253,1,2,1,4,13,2,1,5,1
254,1,2,1,4,14,2,1,5,1
255,1,2,1,4,15,2,1,5,1
256,1,2,1,4,16,2,1,5,1
257,1,2,1,4,17,2,1,5,1
258,1,2,1,4,18,2,1,5,1
259,1,2,1,4,19,2,1,5,1
260,1,2,1,4,20,2,1,5,1
261,1,2,1,4,21,2,1,5,1
262,1,2,1,4,22,2,1,5,1
263,1,2,1,4,23,2,1,5,1
264,1,2,1,5,0,2,1,5,1
265,1,2,1,5,1,2,1,5,1
266,1,2,1,5,2,2,1,5,1
267,1,2,1,5,3,2,1,5,1
268,1,2,1,5,4,2,1,5,1
269,1,2,1,5,5,2,1,5,1
270,1,2,1,5,6,2,1,5,1
271,1,2,1,5,7,2,1,5,1
272,1,2,1,5,8,2,1,5,1
273,1,2,1,5,9,2,1,5,1
274,1,2,1,5,10,2,1,5,1
275,1,2,1,5,11,2,1,5,1
276,1,2,1,5,12,2,1,5,1
277,1,2,1,5,13,2,1,5,1
278,1,2,1,5,14,2,1,5,1
279,1,2,1,5,15,2,1,5,1
280,1,2,1,5,16,2,1,5,1
281,1,2,1,5,17,2,1,5,1
282,1,2,1,5,18,2,1,5,1
283,1,2,1,5,19,2,1,5,1
284,1,2,1,5,20,2,1,5,1
285,1,2,1,5,21,2,1,5,1
286,1,2,1,5,22,2,1,5,1
287,1,2,1,5,23,2,1,5,1
288,1,2,1,6,0,2,1,5,1
289,1,2,1,6,1,2,1,5,1
290,1,2,1,6,2,2,1,5,1
291,1,2,1,6,3,2,1,5,1
292,1,2,1,6,4,2,1,5,1
293,1,2,1,6,5,2,1,5,1
294,1,2,1,6,6,2,1,5,1
295,1,2,1,6,7,2,1,5,1
296,1,2,1,6,8,2,1,5,1
297,1,2,1,6,9,2,1,5,1
298,1,2,1,6,10,2,1,5,1
299,1,2,1,6,11,2,1,5,1
300,1,2,1,6,12,2,1,5,1
301,1,2,1,6,13,2,1,5,1
302,1,2,1,6,14,2,1,5,1
303,1,2,1,6,15,2,1,5,1
304,1,2,1,6,16,2,1,5,1
305,1,2,1,6,17,2,1,5,1
306,1,2,1,6,18,2,1,5,1
307,1,2,1,6,19,2,1,5,1
308,1,2,1,6,20,2,1,5,1
309,1,2,1,6,21,2,1,5,1
310,1,2,1,6,22,2,1,5,1
311,1,2,1,6,23,2,1,5,1
312,1,2,1,7,0,2,1,5,1
313,1,2,1,7,1,2,1,5,1
314,1,2,1,7,2,2,1,5,1
315,1,2,1,7,3,2,1,5,1
316,1,2,1,7,4,2,1,5,1
317,1,2,1,7,5,2,1,5,1
318,1,2,1,7,6,2,1,5,1
319,1,2,1,7,7,2,1,5,1
320,1,2,1,7,8,2,1,5,1
321,1,2,1,7,9,2,1,5,1
322,1,2,1,7,10,2,1,5,1
323,1,2,1,7,11,2,1,5,1
324,1,2,1,7,12,2,1,5,1
325,1,2,1,7,13,2,1,5,1
326,1,2,1,7,14,2,1,5,1
327,1,2,1,7,15,2,1,5,1
328,1,2,1,7,16,2,1,5,1
329,1,2,1,7,17,2,1,5,1
330,1,2,1,7,18,2,1,5,1
331,1,2,1,7,19,2,1,5,1
332,1,2,1,7,20,2,1,5,1
333,1,2,1,7,21,2,1,5,1
334,1,2,1,7,22,2,1,5,1
335,1,2,1,7,23,2,1,5,1
336,1,3,1,1,0,2,1,5,1
337,1,3,1,1,1,2,1,5,1
338,1,3,1,1,2,2,1,5,1
339,1,3,1,1,3,2,1,5,1
340,1,3,1,1,4,2,1,5,1
341,1,3,1,1,5,2,1,5,1
342,1,3,1,1,6,2,1,5,1
343,1,3,1,1,7,2,1,5,1
344,1,3,1,1,8,2,1,5,1
345,1,3,1,1,9,2,1,5,1
346,1,3,1,1,10,2,1,5,1
347,1,3,1,1,11,2,1,5,1
348,1,3,1,1,12,2,1,5,1
349,1,3,1,1,13,2,1,5,1
350,1,3,1,1,14,2,1,5,1
351,1,3,1,1,15,2,1,5,1
352,1,3,1,1,16,2,1,5,1
353,1,3,1,1,17,2,1,5,1
354,1,3,1,1,18,2,1,5,1
355,1,3,1,1,19,2,1,5,1
356,1,3,1,1,20,2,1,5,1
357,1,3,1,1,21,2,1,5,1
358,1,3,1,1,22,2,1,5,1
359,1,3,1,1,23,2,1,5,1
360,1,3,1,2,0,2,1,5,1
361,1,3,1,2,1,2,1,5,1
362,1,3,1,2,2,2,1,5,1
363,1,3,1,2,3,2,1,5,1
364,1,3,1,2,4,2,1,5,1
365,1,3,1,2,5,2,1,5,1
366,1,3,1,2,6,2,1,5,1
367,1,3,1,2,7,2,1,5,1
368,1,3,1,2,8,2,1,5,1
369,1,3,1,2,9,2,1,5,1
370,1,3,1,2,10,2,1,5,1
371,1,3,1,2,11,2,1,5,1
372,1,3,1,2,12,2,1,5,1
373,1,3,1,2,13,2,1,5,1
374,1,3,1,2,14,2,1,5,1
375,1,3,1,2,15,2,1,5,1
376,1,3,1,2,16,2,1,5,1
377,1,3,1,2,17,2,1,5,1
378,1,3,1,2,18,2,1,5,1
379,1,3,1,2,19,2,1,5,1
380,1,3,1,2,20,2,1,5,1
381,1,3,1,2,21,2,1,5,1
382,1,3,1,2,22,2,1,5,1
383,1,3,1,2,23,2,1,5,1
384,1,3,1,3,0,2,1,5,1
385,1,3,1,3,1,2,1,5,1
386,1,3,1,3,2,2,1,5,1
387,1,3,1,3,3,2,1,5,1
388,1,3,1,3,4,2,1,5,1
389,1,3,1,3,5,2,1,5,1
390,1,3,1,3,6,2,1,5,1
391,1,3,1,3,7,2,1,5,1
392,1,3,1,3,8,2,1,5,1
393,1,3,1,3,9,2,1,5,1
394,1,3,1,3,10,2,1,5,1
395,1,3,1,3,11,2,1,5,1
396,1,3,1,3,12,2,1,5,1
397,1,3,1,3,13,2,1,5,1
398,1,3,1,3,14,2,1,5,1
399,1,3,1,3,15,2,1,5,1
400,1,3,1,3,16,2,1,5,1
401,1,3,1,3,17,2,1,5,1
402,1,3,1,3,18,2,1,5,1
403,1,3,1,3,19,2,1,5,1
404,1,3,1,3,20,2,1,5,1
405,1,3,1,3,21,2,1,5,1
406,1,3,1,3,22,2,1,5,1
407,1,3,1,3,23,2,1,5,1
408,1,3,1,4,0,2,1,5,1
409,1,3,1,4,1,2,1,5,1
410,1,3,1,4,2,2,1,5,1
411,1,3,1,4,3,2,1,5,1
412,1,3,1,4,4,2,1,5,1
413,1,3,1,4,5,2,1,5,1
414,1,3,1,4,6,2,1,5,1
415,1,3,1,4,7,2,1,5,1
416,1,3,1,4,8,2,1,5,1
417,1,3,1,4,9,2,1,5,1
418,1,3,1,4,10,2,1,5,1
419,1,3,1,4,11,2,1,5,1
420,1,3,1,4,12,2,1,5,1
421,1,3,1,4,13,2,1,5,1
422,1,3,1,4,14,2,1,5,1
423,1,3,1,4,15,2,1,5,1
424,1,3,1,4,16,2,1,5,1
425,1,3,1,4,17,2,1,5,1
426,1,3,1,4,18,2,1,5,1
427,1,3,1,4,19,2,1,5,1
428,1,3,1,4,20,2,1,5,1
429,1,3,1,4,21,2,1,5,1
430,1,3,1,4,22,2,1,5,1
431,1,3,1,4,23,2,1,5,1
432,1,3,1,5,0,2,1,5,1
433,1,3,1,5,1,2,1,5,1
434,1,3,1,5,2,2,1,5,1
435,1,3,1,5,3,2,1,5,1
436,1,3,1,5,4,2,1,5,1
437,1,3,1,5,5,2,1,5,1
438,1,3,1,5,6,2,1,5,1
439,1,3,1,5,7,2,1,5,1
440,1,3,1,5,8,2,1,5,1
441,1,3,1,5,9,2,1,5,1
442,1,3,1,5,10,2,1,5,1
443,1,3,1,5,11,2,1,5,1
444,1,3,1,5,12,2,1,5,1
445,1,3,1,5,13,2,1,5,1
446,1,3,1,5,14,2,1,5,1
447,1,3,1,5,15,2,1,5,1
448,1,3,1,5,16,2,1,5,1
449,1,3,1,5,17,2,1,5,1
450,1,3,1,5,18,2,1,5,1
451,1,3,1,5,19,2,1,5,1
452,1,3,1,5,20,2,1,5,1
453,1,3,1,5,21,2,1,5,1
454,1,3,1,5,22,2,1,5,1
455,1,3,1,5,23,2,1,5,1
456,1,3,1,6,0,2,1,5,1
457,1,3,1,6,1,2,1,5,1
458,1,3,1,6,2,2,1,5,1
459,1,3,1,6,3,2,1,5,1
460,1,3,1,6,4,2,1,5,1
461,1,3,1,6,5,2,1,5,1
462,1,3,1,6,6,2,1,5,1
463,1,3,1,6,7,2,1,5,1
464,1,3,1,6,8,2,1,5,1
465,1,3,1,6,9,2,1,5,1
466,1,3,1,6,10,2,1,5,1
467,1,3,1,6,11,2,1,5,1
468,1,3,1,6,12,2,1,5,1
469,1,3,1,6,13,2,1,5,1
470,1,3,1,6,14,2,1,5,1
471,1,3,1,6,15,2,1,5,1
472,1,3,1,6,16,2,1,5,1
473,1,3,1,6,17,2,1,5,1
474,1,3,1,6,18,2,1,5,1
475,1,3,1,6,19,2,1,5,1
476,1,3,1,6,20,2,1,5,1
477,1,3,1,6,21,2,1,5,1
478,1,3,1,6,22,2,1,5,1
479,1,3,1,6,23,2,1,5,1
480,1,3,1,7,0,2,1,5,1
481,1,3,1,7,1,2,1,5,1
482,1,3,1,7,2,2,1,5,1
483,1,3,1,7,3,2,1,5,1
484,1,3,1,7,4,2,1,5,1
485,1,3,1,7,5,2,1,5,1
486,1,3,1,7,6,2,1,5,1
487,1,3,1,7,7,2,1,5,1
488,1,3,1,7,8,2,1,5,1
489,1,3,1,7,9,2,1,5,1
490,1,3,1,7,10,2,1,5,1
491,1,3,1,7,11,2,1,5,1
492,1,3,1,7,12,2,1,5,1
493,1,3,1,7,13,2,1,5,1
494,1,3,1,7,14,2,1,5,1
495,1,3,1,7,15,2,1,5,1
496,1,3,1,7,16,2,1,5,1
497,1,3,1,7,17,2,1,5,1
498,1,3,1,7,18,2,1,5,1
499,1,3,1,7,19,2,1,5,1
500,1,3,1,7,20,2,1,5,1
501,1,3,1,7,21,2,1,5,1
502,1,3,1,7,22,2,1,5,1
503,1,3,1,7,23,2,1,5,1
504,1,4,1,1,0,2,1,5,1
505,1,4,1,1,1,2,1,5,1
506,1,4,1,1,2,2,1,5,1
507,1,4,1,1,3,2,1,5,1
508,1,4,1,1,4,2,1,5,1
509,1,4,1,1,5,2,1,5,1
510,1,4,1,1,6,2,1,5,1
511,1,4,1,1,7,2,1,5,1
512,1,4,1,1,8,2,1,5,1
513,1,4,1,1,9,2,1,5,1
514,1,4,1,1,10,2,1,5,1
515,1,4,1,1,11,2,1,5,1
516,1,4,1,1,12,2,1,5,1
517,1,4,1,1,13,2,1,5,1
518,1,4,1,1,14,2,1,5,1
519,1,4,1,1,15,2,1,5,1
520,1,4,1,1,16,2,1,5,1
521,1,4,1,1,17,2,1,5,1
522,1,4,1,1,18,2,1,5,1
523,1,4,1,1,19,2,1,5,1
524,1,4,1,1,20,2,1,5,1
525,1,4,1,1,21,2,1,5,1
526,1,4,1,1,22,2,1,5,1
527,1,4,1,1,23,2,1,5,1
528,1,4,1,2,0,2,1,5,1
529,1,4,1,2,1,2,1,5,1
530,1,4,1,2,2,2,1,5,1
531,1,4,1,2,3,2,1,5,1
532,1,4,1,2,4,2,1,5,1
533,1,4,1,2,5,2,1,5,1
534,1,4,1,2,6,2,1,5,1
535,1,4,1,2,7,2,1,5,1
536,1,4,1,2,8,2,1,5,1
537,1,4,1,2,9,2,1,5,1
538,1,4,1,2,10,2,1,5,1
539,1,4,1,2,11,2,1,5,1
540,1,4,1,2,12,2,1,5,1
541,1,4,1,2,13,2,1,5,1
542,1,4,1,2,14,2,1,5,1
543,1,4,1,2,15,2,1,5,1
544,1,4,1,2,16,2,1,5,1
545,1,4,1,2,17,2,1,5,1
546,1,4,1,2,18,2,1,5,1
547,1,4,1,2,19,2,1,5,1
548,1,4,1,2,20,2,1,5,1
549,1,4,1,2,21,2,1,5,1
550,1,4,1,2,22,2,1,5,1
551,1,4,1,2,23,2,1,5,1
552,1,4,1,3,0,2,1,5,1
553,1,4,1,3,1,2,1,5,1
554,1,4,1,3,2,2,1,5,1
555,1,4,1,3,3,2,1,5,1
556,1,4,1,3,4,2,1,5,1
557,1,4,1,3,5,2,1,5,1
558,1,4,1,3,6,2,1,5,1
559,1,4,1,3,7,2,1,5,1
560,1,4,1,3,8,2,1,5,1
561,1,4,1,3,9,2,1,5,1
562,1,4,1,3,10,2,1,5,1
563,1,4,1,3,11,2,1,5,1
564,1,4,1,3,12,2,1,5,1
565,1,4,1,3,13,2,1,5,1
566,1,4,1,3,14,2,1,5,1
567,1,4,1,3,15,2,1,5,1
568,1,4,1,3,16,2,1,5,1
569,1,4,1,3,17,2,1,5,1
570,1,4,1,3,18,2,1,5,1
571,1,4,1,3,19,2,1,5,1
572,1,4,1,3,20,2,1,5,1
573,1,4,1,3,21,2,1,5,1
574,1,4,1,3,22,2,1,5,1
575,1,4,1,3,23,2,1,5,1
576,1,4,1,4,0,2,1,5,1
577,1,4,1,4,1,2,1,5,1
578,1,4,1,4,2,2,1,5,1
579,1,4,1,4,3,2,1,5,1
580,1,4,1,4,4,2,1,5,1
581,1,4,1,4,5,2,1,5,1
582,1,4,1,4,6,2,1,5,1
583,1,4,1,4,7,2,1,5,1
584,1,4,1,4,8,2,1,5,1
585,1,4,1,4,9,2,1,5,1
586,1,4,1,4,10,2,1,5,1
587,1,4,1,4,11,2,1,5,1
588,1,4,1,4,12,2,1,5,1
589,1,4,1,4,13,2,1,5,1
590,1,4,1,4,14,2,1,5,1
591,1,4,1,4,15,2,1,5,1
592,1,4,1,4,16,2,1,5,1
593,1,4,1,4,17,2,1,5,1
594,1,4,1,4,18,2,1,5,1
595,1,4,1,4,19,2,1,5,1
596,1,4,1,4,20,2,1,5,1
597,1,4,1,4,21,2,1,5,1
598,1,4,1,4,22,2,1,5,1
599,1,4,1,4,23,2,1,5,1
600,1,4,1,5,0,2,1,5,1
601,1,4,1,5,1,2,1,5,1
602,1,4,1,5,2,2,1,5,1
603,1,4,1,5,3,2,1,5,1
604,1,4,1,5,4,2,1,5,1
605,1,4,1,5,5,2,1,5,1
606,1,4,1,5,6,2,1,5,1
607,1,4,1,5,7,2,1,5,1
608,1,4,1,5,8,2,1,5,1
609,1,4,1,5,9,2,1,5,1
610,1,4,1,5,10,2,1,5,1
611,1,4,1,5,11,2,1,5,1
612,1,4,1,5,12,2,1,5,1
613,1,4,1,5,13,2,1,5,1
614,1,4,1,5,14,2,1,5,1
615,1,4,1,5,15,2,1,5,1
616,1,4,1,5,16,2,1,5,1
617,1,4,1,5,17,2,1,5,1
618,1,4,1,5,18,2,1,5,1
619,1,4,1,5,19,2,1,5,1
620,1,4,1,5,20,2,1,5,1
621,1,4,1,5,21,2,1,5,1
622,1,4,1,5,22,2,1,5,1
623,1,4,1,5,23,2,1,5,1
624,1,4,1,6,0,2,1,5,1
625,1,4,1,6,1,2,1,5,1
626,1,4,1,6,2,2,1,5,1
627,1,4,1,6,3,2,1,5,1
628,1,4,1,6,4,2,1,5,1
629,1,4,1,6,5,2,1,5,1
630,1,4,1,6,6,2,1,5,1
631,1,4,1,6,7,2,1,5,1
632,1,4,1,6,8,2,1,5,1
633,1,4,1,6,9,2,1,5,1
634,1,4,1,6,10,2,1,5,1
635,1,4,1,6,11,2,1,5,1
636,1,4,1,6,12,2,1,5,1
637,1,4,1,6,13,2,1,5,1
638,1,4,1,6,14,2,1,5,1
639,1,4,1,6,15,2,1,5,1
640,1,4,1,6,16,2,1,5,1
641,1,4,1,6,17,2,1,5,1
642,1,4,1,6,18,2,1,5,1
643,1,4,1,6,19,2,1,5,1
644,1,4,1,6,20,2,1,5,1
645,1,4,1,6,21,2,1,5,1
646,1,4,1,6,22,2,1,5,1
647,1,4,1,6,23,2,1,5,1
648,1,4,1,7,0,2,1,5,1
649,1,4,1,7,1,2,1,5,1
650,1,4,1,7,2,2,1,5,1
651,1,4,1,7,3,2,1,5,1
652,1,4,1,7,4,2,1,5,1
653,1,4,1,7,5,2,1,5,1
654,1,4,1,7,6,2,1,5,1
655,1,4,1,7,7,2,1,5,1
656,1,4,1,7,8,2,1,5,1
657,1,4,1,7,9,2,1,5,1
658,1,4,1,7,10,2,1,5,1
659,1,4,1,7,11,2,1,5,1
660,1,4,1,7,12,2,1,5,1
661,1,4,1,7,13,2,1,5,1
662,1,4,1,7,14,2,1,5,1
663,1,4,1,7,15,2,1,5,1
664,1,4,1,7,16,2,1,5,1
665,1,4,1,7,17,2,1,5,1
666,1,4,1,7,18,2,1,5,1
667,1,4,1,7,19,2,1,5,1
668,1,4,1,7,20,2,1,5,1
669,1,4,1,7,21,2,1,5,1
670,1,4,1,7,22,2,1,5,1
671,1,4,1,7,23,2,1,5,1
672,1,5,1,1,0,2,1,5,1
673,1,5,1,1,1,2,1,5,1
674,1,5,1,1,2,2,1,5,1
675,1,5,1,1,3,2,1,5,1
676,1,5,1,1,4,2,1,5,1
677,1,5,1,1,5,2,1,5,1
678,1,5,1,1,6,2,1,5,1
679,1,5,1,1,7,2,1,5,1
680,1,5,1,1,8,2,1,5,1
681,1,5,1,1,9,2,1,5,1
682,1,5,1,1,10,2,1,5,1
683,1,5,1,1,11,2,1,5,1
684,1,5,1,1,12,2,1,5,1
685,1,5,1,1,13,2,1,5,1
686,1,5,1,1,14,2,1,5,1
687,1,5,1,1,15,2,1,5,1
688,1,5,1,1,16,2,1,5,1
689,1,5,1,1,17,2,1,5,1
690,1,5,1,1,18,2,1,5,1
691,1,5,1,1,19,2,1,5,1
